COUNTY,MedianHomePrice,Pop 2023,Poverty,Median Household Income (2021),% of State Median HH Income
Crockett County,94647.01892,"2,858",4,"$53,159 ",79.40%
Crosby County,77406.83562,"4,917",4.2,"$42,728 ",63.80%
Culberson County,121139.1895,"2,196",2.8,"$48,217 ",72.00%
Dallam County,138023.731,"7,237",2.4,"$70,895 ",105.90%
Dallas County,316250.319,"2,606,358",3.8,"$63,549 ",94.90%
Dawson County,94187.68091,"12,004",4.4,"$43,627 ",65.20%
Deaf Smith County,179959.6899,"18,347",3,"$50,967 ",76.10%
Delta County,160766.5681,"5,520",4.1,"$50,329 ",75.20%
Denton County,177560.4416,"1,007,703",3.3,"$98,027 ",146.40%
DeWitt County,455453.3376,"19,929",3.5,"$54,279 ",81.10%
Dickens County,67968.5775,"1,711",4.8,"$42,690 ",63.80%
Dimmit County,105414.3661,"8,257",3.9,"$41,838 ",62.50%
Donley County,94954.98743,"3,214",3.6,"$44,353 ",66.20%
Duval County,77409.59602,"9,604",4.5,"$37,921 ",56.60%
Eastland County,126654.3967,"18,037",4.6,"$47,526 ",71.00%
Ector County,230098.587,"164,494",3.9,"$58,389 ",87.20%
Edwards County,,"1,393",2.9,"$47,573 ",71.00%
El Paso County,219543.8422,"222,829",4.3,"$50,983 ",76.10%
Ellis County,360908.8581,"869,880",3.5,"$87,698 ",131.00%
Erath County,315543.2351,"44,195",3.5,"$51,964 ",77.60%
Falls County,122327.816,"17,286",4.1,"$46,173 ",69.00%
Fannin County,259800.4564,"37,571",3.5,"$56,794 ",84.80%
Fayette County,457976.3237,"25,474",3.5,"$64,711 ",96.60%
Fisher County,87783.07447,"3,612",3.6,"$51,362 ",76.70%
Floyd County,75609.68665,"5,090",4.2,"$43,855 ",65.50%
Foard County,104070.5709,"1,079",3.2,"$42,616 ",63.60%
Fort Bend County,382981.4378,"916,778",4,"$98,070 ",146.50%
Franklin County,301725.7869,"10,735",3.3,"$51,885 ",77.50%
Freestone County,216244.53,"20,441",5.4,"$48,397 ",72.30%
Frio County,133884.536,"17,987",3.4,"$47,833 ",71.40%
Gaines County,203405.2689,"22,523",3,"$58,712 ",87.70%
Galveston County,321290.7626,"361,744",4.4,"$77,627 ",115.90%
Garza County,100163.2978,"4,517",4.2,"$43,890 ",65.50%
Gillespie County,530810.4011,"27,733",2.7,"$71,594 ",106.90%
Glasscock County,239726.8032,"1,141",2.7,"$116,958 ",174.70%
Goliad County,250628.8342,"7,144",4.5,"$58,937 ",88.00%
Gonzales County,194760.0007,"19,930",3.3,"$48,164 ",71.90%
Gray County,84928.34436,"20,916",4.5,"$45,530 ",68.00%
Grayson County,283516.5778,"146,907",3.7,"$62,678 ",93.60%
Gregg County,220147.3907,"126,243",4.3,"$57,608 ",86.00%
Grimes County,304867.8602,"32,384",4.6,"$52,540 ",78.50%
Guadalupe County,311854.5929,"188,454",3.4,"$80,145 ",119.70%
Hale County,114597.8584,"31,761",5,"$47,373 ",70.70%
Hall County,73337.40917,"2,818",4.2,"$34,766 ",51.90%
Hamilton County,202039.3022,"8,619",3.5,"$53,759 ",80.30%
Hansford County,130734.2293,"5,071",2.4,"$57,692 ",86.20%
Hardeman County,61075.74304,"3,490",3.6,"$45,677 ",68.20%
Hardin County,222505.5389,"58,261",5.2,"$67,183 ",100.30%
Harris County,283747.9252,"4,835,125",4.3,"$63,539 ",94.90%
Harrison County,200010.725,"70,895",4.5,"$56,645 ",84.60%
Hartley County,232662.1255,"5,145",2,"$71,332 ",106.50%
Haskell County,83306.92561,"5,385",3,"$43,546 ",65.00%
Hays County,395086.274,"280,486",3.1,"$79,336 ",118.50%
Hemphill County,156860.2928,"3,189",3.4,"$65,387 ",97.70%
Henderson County,264298.0899,"86,158",3.9,"$50,348 ",75.20%
Hidalgo County,183891.2146,"898,471",6.6,"$44,260 ",66.10%
Hill County,217986.9783,"38,101",3.9,"$52,495 ",78.40%
Hockley County,153885.047,"21,460",3.7,"$51,078 ",76.30%
Hood County,366639.4716,"67,774",3.8,"$68,911 ",102.90%
Hopkins County,254683.5552,"38,172",3.6,"$56,680 ",84.60%
Houston County,168541.9654,"22,066",3.6,"$45,603 ",68.10%
Howard County,129610.8772,"30,554",5.1,"$55,842 ",83.40%
Hudspeth County,,"3,451",4,"$38,904 ",58.10%
Hunt County,282423.7476,"113,347",4,"$58,326 ",87.10%
Hutchinson County,103660.5367,"20,033",4.5,"$56,646 ",84.60%
Irion County,239135.3597,"1,549",3,"$69,966 ",104.50%
Jack County,180285.4525,"8,875",3.8,"$51,846 ",77.40%
Jackson County,190876.2878,"15,221",3.5,"$60,666 ",90.60%
Jasper County,171564.0319,"32,694",6.5,"$50,038 ",74.70%
Jeff Davis County,213132.0174,"1,856",3.5,"$56,149 ",83.90%
Jefferson County,153562.4314,"251,496",6.3,"$55,575 ",83.00%
Jim Hogg County,79544.89486,"4,720",5.4,"$37,454 ",55.90%
Jim Wells County,130409.1299,"38,662",5.8,"$43,852 ",65.50%
Johnson County,329885.0504,"202,906",3.5,"$76,226 ",113.80%
Jones County,129986.9414,"20,381",4.4,"$52,288 ",78.10%
Karnes County,143737.2861,"15,018",3.3,"$48,470 ",72.40%
Kaufman County,311751.7503,"185,690",3.8,"$73,660 ",110.00%
Kendall County,581530.8951,"50,537",3.2,"$102,832 ",153.60%
Kenedy County,,343,6.2,"$42,379 ",63.30%
Kent County,,734,2,"$54,154 ",80.90%
Kerr County,364251.6461,"53,915",3.6,"$60,834 ",90.90%
Kimble County,261544.5304,"4,442",3.4,"$48,671 ",72.70%
King County,,217,0.9,"$74,890 ",111.80%
Kinney County,99935.70937,"3,148",4.8,"$50,567 ",75.50%
Kleberg County,141549.9072,"30,069",4.8,"$49,226 ",73.50%
Knox County,69610.6391,"3,302",4,"$45,558 ",68.00%
La Salle County,159274.1235,"23,262",2.9,"$40,549 ",60.60%
Lamar County,193557.3899,"6,537",4.3,"$50,787 ",75.80%
Lamb County,89032.40584,"51,127",4,"$48,981 ",73.20%
Lampasas County,302741.9326,"12,711",3.7,"$64,401 ",96.20%
Lavaca County,288814.2481,"20,571",3.4,"$54,421 ",81.30%
Lee County,347100.4297,"18,240",3.6,"$59,469 ",88.80%
Leon County,282158.0752,"16,538",5.2,"$51,582 ",77.00%
Liberty County,235127.8977,"108,272",5.9,"$57,174 ",85.40%
Limestone County,156182.4534,"22,250",4.6,"$50,381 ",75.20%
Lipscomb County,111994.9055,"2,906",3.1,"$64,249 ",96.00%
Live Oak County,166238.5417,"11,584",4.2,"$52,910 ",79.00%
Llano County,485093.4624,"22,875",3.8,"$61,037 ",91.20%
Loving County,,43,0.6,"$100,917 ",150.70%
Lubbock County,206111.6161,"320,940",3.4,"$57,270 ",85.50%
Lynn County,152165.4795,"5,761",3.6,"$50,374 ",75.20%
Madison County,270882.3361,"3,931",4.4,"$48,251 ",72.10%
Marion County,151624.8892,"36,359",5,"$43,178 ",64.50%
Martin County,215360.1523,"57,762",3.1,"$69,505 ",103.80%
Mason County,304597.5895,"7,452",3.4,"$56,690 ",84.70%
Matagorda County,210262.1417,"268,583",6,"$50,054 ",74.80%
Maverick County,203575.9849,568,8,"$41,815 ",62.40%
McCulloch County,112694.8281,"13,742",4.2,"$43,525 ",65.00%
McLennan County,262151.4048,"9,571",3.6,"$58,524 ",87.40%
McMullen County,,"5,216",1.9,"$63,120 ",94.30%
Medina County,310519.9654,"54,797",3.9,"$62,907 ",93.90%
Menard County,156064.1886,"1,958",3.7,"$41,507 ",62.00%
Midland County,311226.1349,"177,108",3,"$84,837 ",126.70%
Milam County,227393.2467,"25,951",4.3,"$53,320 ",79.60%
Mills County,191002.647,"4,548",4.3,"$54,948 ",82.10%
Mitchell County,84294.27019,"9,075",4.5,"$44,476 ",66.40%
Montague County,222540.9053,"21,598",3.6,"$54,988 ",82.10%
Montgomery County,352566.6003,"711,354",4,"$87,831 ",131.20%
Moore County,170502.2762,"21,190",2.7,"$61,833 ",92.30%
Morris County,148599.7948,"12,066",6.3,"$44,957 ",67.10%
Motley County,95999.1005,"1,020",4.1,"$47,835 ",71.40%
Nacogdoches County,223152.6661,"65,375",4.3,"$46,970 ",70.10%
Navarro County,214757.9606,"55,635",3.9,"$51,015 ",76.20%
Newton County,155013.21,"12,039",6.9,"$44,030 ",65.80%
Nolan County,109428.2376,"14,306",3.8,"$44,342 ",66.20%
Nueces County,218661.1332,"352,289",4.7,"$59,337 ",88.60%
Ochiltree County,117930.0399,"9,704",3.4,"$60,914 ",91.00%
Oldham County,,"1,783",3,"$62,868 ",93.90%
Orange County,175867.0605,"85,722",5.8,"$65,908 ",98.40%
Palo Pinto County,241331.6402,"29,747",3.8,"$57,580 ",86.00%
Panola County,185180.4526,"22,838",4.7,"$54,244 ",81.00%
Parker County,429318.3719,"173,494",3.3,"$85,613 ",127.90%
Parmer County,139223.4276,"9,617",2.4,"$56,632 ",84.60%
Pecos County,153518.775,"14,623",4.1,"$49,291 ",73.60%
Polk County,177782.5534,"54,186",5.6,"$50,827 ",75.90%
Potter County,138404.8207,"114,647",3.3,"$45,904 ",68.60%
Presidio County,189299.6687,"5,795",6.2,"$39,791 ",59.40%
Rains County,287793.8547,"12,986",3.5,"$57,294 ",85.60%
Randall County,248227.3205,"148,255",2.9,"$72,082 ",107.70%
Reagan County,163124.2264,"3,141",3.6,"$65,162 ",97.30%
Real County,255480.936,"2,854",4.7,"$46,907 ",70.10%
Red River County,123204.5908,"11,678",5.1,"$46,134 ",68.90%
Reeves County,152067.6738,"11,770",3.5,"$46,275 ",69.10%
Refugio County,132270.4285,"6,666",4.8,"$46,695 ",69.70%
Roberts County,,840,4,"$73,224 ",109.40%
Robertson County,218815.2537,"17,267",3.9,"$50,816 ",75.90%
Rockwall County,418190.078,"131,307",3.4,"$120,696 ",180.30%
Runnels County,111866.0832,"9,868",3.4,"$48,190 ",72.00%
Rusk County,200301.3204,"53,079",4.2,"$53,186 ",79.40%
Sabine County,169315.5965,"10,106",7.2,"$46,233 ",69.00%
San Augustine County,145939.5253,"7,833",5.9,"$43,335 ",64.70%
San Jacinto County,246208.4923,"28,936",4.9,"$52,302 ",78.10%
San Patricio County,203488.0529,"70,660",6.1,"$58,227 ",87.00%
San Saba County,164935.0093,"5,845",3.6,"$45,437 ",67.90%
Schleicher County,,"2,391",3.6,"$52,408 ",78.30%
Scurry County,126123.0331,"16,212",4.2,"$49,727 ",74.30%
Shackelford County,136793.4395,"3,229",2.7,"$61,351 ",91.60%
Shelby County,189922.2255,"24,179",4.3,"$43,244 ",64.60%
Sherman County,152812.3543,"2,678",2.8,"$62,557 ",93.40%
Smith County,269854.1291,"245,209",3.8,"$62,903 ",93.90%
Somervell County,389194.755,"9,888",3.9,"$68,280 ",102.00%
Starr County,118554.5534,"65,934",11,"$33,535 ",50.10%
Stephens County,129969.6314,"9,343",3.8,"$46,064 ",68.80%
Sterling County,172130.8837,"1,397",4,"$69,212 ",103.40%
Stonewall County,90048.86697,"1,218",3,"$49,813 ",74.40%
Sutton County,139855.0425,"3,221",5.7,"$59,905 ",89.50%
Swisher County,91779.49417,"6,955",4.1,"$45,509 ",68.00%
Tarrant County,322572.0298,"2,182,947",3.7,"$71,399 ",106.60%
Taylor County,196493.5215,"146,836",3.4,"$53,820 ",80.40%
Terrell County,101788.3481,687,3.7,"$44,343 ",66.20%
Terry County,109444.6946,"11,547",4.2,"$42,225 ",63.10%
Throckmorton County,116724.0351,"1,526",3.2,"$46,253 ",69.10%
Titus County,218684.2026,"31,357",4.4,"$49,513 ",73.90%
Tom Green County,229288.1604,"119,057",3.5,"$60,750 ",90.70%
Travis County,506538.0297,"1,334,961",2.9,"$84,519 ",126.20%
Trinity County,177299.0837,"14,228",5.3,"$46,569 ",69.50%
Tyler County,158287.1185,"20,382",6.1,"$46,955 ",70.10%
Upshur County,244104.4606,"43,281",4.3,"$51,634 ",77.10%
Upton County,95922.63174,"3,109",2.7,"$49,340 ",73.70%
Uvalde County,186002.9143,"24,960",4.4,"$48,438 ",72.30%
Val Verde County,203324.722,"47,720",4.6,"$50,532 ",75.50%
Van Zandt County,267647.6942,"64,000",3.5,"$59,929 ",89.50%
Victoria County,213034.0755,"91,664",4.2,"$57,142 ",85.30%
Walker County,264757.3096,"81,268",4.8,"$43,012 ",64.20%
Waller County,360486.8043,"63,553",4.4,"$65,437 ",97.70%
Ward County,160467.4471,"10,966",3.7,"$58,461 ",87.30%
Washington County,334753.9858,"37,007",4,"$66,601 ",99.50%
Webb County,208483.2394,"269,148",4.2,"$50,865 ",76.00%
Wharton County,197947.923,"41,739",3.8,"$56,522 ",84.40%
Wheeler County,86981.01581,"4,804",3.9,"$49,282 ",73.60%
Wichita County,161645.0916,"130,180",4,"$53,148 ",79.40%
Wilbarger County,89982.71669,"12,522",4.9,"$48,117 ",71.90%
Willacy County,105180.5784,"20,037",8.2,"$37,087 ",55.40%
Williamson County,425105.5907,"697,191",3,"$96,653 ",144.30%
Wilson County,415942.096,"54,183",3.3,"$78,794 ",117.70%
Winkler County,111680.1009,"7,414",4,"$62,477 ",93.30%
Wise County,386183.5735,"78,097",3.6,"$77,668 ",116.00%
Wood County,277472.8639,"47,921",4.5,"$53,485 ",79.90%
Yoakum County,162092.3242,"7,468",4.1,"$66,816 ",99.80%
Young County,160589.8776,"18,124",3.5,"$53,715 ",80.20%
Zapata County,127207.9493,"13,736",7,"$37,474 ",56.00%
Zavala County,83896.34497,"9,312",8.7,"$35,046 ",52.30%
